Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
NFAPPL-02-IPHONE12=1-E6A8FE71C6673D0E3FB6A7DA6AB2EED0FE6D2C4B95EE2B1A1DA1B03A1738C92D,IN,Apple iPhone 11,Apple iPhone 11,2405:201:480a:3f3c:20ee:f677:f19a:308a,Haryana,2019-11-05T18:17:29.027Z
NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-0FD838B22BB8FFB1183EFA493FAB79E8313FE948B3969815B0D8FB740874BDF9,IN,FireTV 4K Stick 2018,FireTV 4K Stick 2018,49.36.138.0,Haryana,2019-11-05T16:23:59.027Z
NFAPPL-02-IPHONE12=1-E6A8FE71C6673D0E3FB6A7DA6AB2EED0FE6D2C4B95EE2B1A1DA1B03A1738C92D,IN,Apple iPhone 11,Apple iPhone 11,2405:201:480a:3f3c:54fb:882:99f7:b7ae,Haryana,2019-11-04T16:49:50.383Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,49.36.138.0,Haryana,2019-11-04T09:06:37.536Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2405:201:480a:3f3c:edea:737b:2ba4:24a7,Haryana,2019-11-04T08:47:27.189Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,49.36.138.0,Haryana,2019-11-03T16:53:47.781Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2405:201:480a:3f3c:edea:737b:2ba4:24a7,Haryana,2019-11-03T11:11:13.002Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,49.36.138.0,Haryana,2019-11-03T10:26:18.368Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2405:201:480a:3f3c:edea:737b:2ba4:24a7,Haryana,2019-11-03T09:48:24.853Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2405:201:480a:3f3c:8072:b880:5e7d:83c3,Haryana,2019-11-03T07:38:51.166Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,49.36.138.0,Haryana,2019-11-03T05:30:04.543Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2405:201:480a:3f3c:8072:b880:5e7d:83c3,Haryana,2019-11-03T05:20:11.645Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,49.36.138.0,Haryana,2019-11-02T11:51:46.679Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,2405:201:480a:3f3c:8072:b880:5e7d:83c3,Haryana,2019-11-02T11:23:30.030Z
NFAPPL-04-APPLETV5=3-7EDA992BF38D7EE594596C3D81F7E44FF2869530F10AEB2D6ED8843660E6387C,IN,Apple Apple TV 4 Apple TV,Apple Apple TV 4 Apple TV,49.36.138.0,Haryana,2019-11-02T10:42:46.237Z
