Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Big Mummy,NFANDROID1-PRV-P-L3-SAMSUSM-J600G-8158-09CA744BE3C79741B4205EF65B9D7F92D7595BF7BC4B1F60D799AC75A7392C54B,Android DefaultWidevineL3Phone Android Phone,2020-11-29T05:43:17.506Z,2021-07-24T12:01:58.890Z,2020-11-29T05:43:17.506Z,2021-07-24T12:01:58.890Z,2020-11-29T05:43:17.506Z,2021-07-24T12:01:58.890Z,2020-11-29T05:43:17.506Z,2021-07-24T12:01:58.890Z,
Amy,WWW-BROWSE-HGEZ84CG1J5CPXM5EGX1VT28G9X6YV,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
Amy,NFANDROID1-PRV-P-L3-SAMSUSM-J600G-8158-09CA744BE3C79741B4205EF65B9D7F92D7595BF7BC4B1F60D799AC75A7392C54B,Android DefaultWidevineL3Phone Android Phone,2020-11-29T05:43:17.506Z,2021-07-24T12:01:58.890Z,2020-11-29T05:43:17.506Z,2021-07-24T12:01:58.890Z,,,,,
Amy,NFAPPL-02-IPHONE9=3-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,Apple iPhone 7 (GSM),2020-07-28T10:28:21.945Z,2021-05-29T05:34:59.539Z,2020-07-28T10:28:21.945Z,2021-05-29T05:34:59.539Z,2020-07-28T10:28:21.945Z,2021-05-29T05:34:59.539Z,2020-07-28T10:28:21.945Z,2021-05-29T05:34:59.539Z,
Big Mummy,NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,Edge OSS - Windows (Cadmium),2021-04-12T05:50:02.890Z,2022-01-04T11:15:16.223Z,2021-04-12T06:31:11.961Z,2022-01-04T11:15:16.223Z,2021-05-23T08:12:16.091Z,2021-05-24T04:49:03.100Z,2021-05-23T08:12:16.091Z,2021-05-24T04:34:37.900Z,
Amy,NFCDFF-02-HA2GGENUPV53DE583L208VM8ALATD7,Firefox PC (Cadmium),2021-05-16T15:49:06.333Z,2022-01-05T05:32:31.130Z,2021-05-16T15:49:06.333Z,2022-01-05T05:32:31.130Z,,,,,
Raj,NFCDFF-LX-H9WWCMH8TM6MKK16710CUNUGVX704D,Netflix Linux Firefox Other,2021-05-14T12:48:45.196Z,2021-05-14T19:30:31.305Z,2021-05-14T12:49:01.780Z,2021-05-14T19:30:31.305Z,2021-05-14T12:48:45.196Z,2021-05-14T19:30:31.305Z,2021-05-14T12:49:01.780Z,2021-05-14T19:30:31.305Z,
Amy,NFCDFF-LX-H9WWCMH8TM6MKK16710CUNUGVX704D,Netflix Linux Firefox Other,2021-05-14T12:48:45.196Z,2021-05-14T19:30:31.305Z,2021-05-14T12:49:01.780Z,2021-05-14T19:30:31.305Z,,,,,
Raj,NFCDFF-LX-H9QXDJJR7G1R8MXD4N4PL762VLV3HU,Netflix Linux Firefox Other,2021-05-12T15:35:27.961Z,2021-05-12T15:41:45.630Z,2021-05-12T15:35:27.961Z,2021-05-12T15:41:45.630Z,2021-05-12T15:35:27.961Z,2021-05-12T15:41:45.630Z,2021-05-12T15:35:27.961Z,2021-05-12T15:41:45.630Z,
Amy,NFCDFF-LX-H9QXDJJR7G1R8MXD4N4PL762VLV3HU,Netflix Linux Firefox Other,2021-05-12T15:35:27.961Z,2021-05-12T15:41:45.630Z,2021-05-12T15:35:27.961Z,2021-05-12T15:41:45.630Z,,,,,
