Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Raj,2018-09-13 07:41:20,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,IN,,,Maniac,SURESHTKUMAR.COM,,,,0
Raj,2018-09-13 07:41:20,PUSH_ORIGINALS_PREPROMOTE,PUSH,IN,en-GB,en-GB,Maniac,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-09-11 07:06:05,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,IN,en-GB,en-GB,MINDHUNTER,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-09-11 07:06:04,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,MINDHUNTER,SURESHTKUMAR.COM,,,,0
Raj,2018-09-06 06:36:53,PUSH_ORIGINALS_PREPROMOTE,PUSH,IN,en-GB,en-GB,BoJack Horseman,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-09-06 06:30:50,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,IN,,,BoJack Horseman,SURESHTKUMAR.COM,,2018-09-07 08:31:28,BND-AL10,1
Raj,2018-08-30 06:42:00,PUSH_ORIGINALS_PREPROMOTE,PUSH,IN,en-GB,en-GB,Next Gen,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-08-30 06:32:58,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,IN,,,Next Gen,SURESHTKUMAR.COM,,,,0
Raj,2018-08-30 06:31:17,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,IN,en-GB,en-GB,Explained,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-08-30 06:30:20,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,Explained,SURESHTKUMAR.COM,,,,0
Raj,2018-08-28 06:38:48,PUSH_WHAT_TO_WATCH_MOVIE_NIGHT,PUSH,IN,en-GB,en-GB,Brij Mohan Amar Rahe,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-08-28 06:31:47,INAPP_WHAT_TO_WATCH_MOVIE_NIGHT,NOTIFICATIONS,IN,,,Brij Mohan Amar Rahe,SURESHTKUMAR.COM,,,,0
Raj,2018-08-17 08:17:34,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,Disenchantment,SURESHTKUMAR.COM,,,,0
Raj,2018-08-17 08:17:34,PUSH_NEW_ARRIVALS,PUSH,IN,en-GB,en-GB,Disenchantment,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-08-09 06:39:53,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,IN,,,Disenchantment,SURESHTKUMAR.COM,,,,0
Raj,2018-08-09 06:39:53,PUSH_ORIGINALS_PREPROMOTE,PUSH,IN,en-GB,en-GB,Disenchantment,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-08-04 06:33:15,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,Brij Mohan Amar Rahe,SURESHTKUMAR.COM,,2018-08-06 19:44:10,BND-AL10,1
Raj,2018-08-04 06:33:15,PUSH_NEW_ARRIVALS,PUSH,IN,en-GB,en-GB,Brij Mohan Amar Rahe,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-07-28 06:33:44,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,Extinction,SURESHTKUMAR.COM,,2018-08-06 19:44:21,BND-AL10,1
Raj,2018-07-28 06:33:44,PUSH_NEW_ARRIVALS,PUSH,IN,en-GB,en-GB,Extinction,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-07-20 12:48:20,PUSH_NEW_ARRIVALS,PUSH,IN,en-GB,en-GB,The Break,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-07-13 06:38:13,PUSH_WHAT_TO_WATCH_TOP_PICKS,PUSH,IN,en-GB,en-GB,Gossip Girl,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-06-27 06:41:25,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,Sense8,SURESHTKUMAR.COM,,,,0
Raj,2018-06-20 06:40:18,PUSH_NEW_ARRIVALS,PUSH,IN,,,Captain America: The First Avenger,SURESHTKUMAR.COM,,,--,0
Raj,2018-06-20 06:36:09,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,Captain America: The First Avenger,SURESHTKUMAR.COM,,,,0
Raj,2018-06-16 06:33:26,PUSH_NEW_ARRIVALS,PUSH,IN,,,Maktub,SURESHTKUMAR.COM,,,--,0
Raj,2018-06-16 06:33:24,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,Maktub,SURESHTKUMAR.COM,,,,0
Raj,2018-06-08 06:41:53,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,The Avengers,SURESHTKUMAR.COM,,,,0
Raj,2018-05-30 06:40:11,INAPP_WHAT_TO_WATCH,NOTIFICATIONS,IN,,,Spartacus,SURESHTKUMAR.COM,,,,0
Raj,2018-05-21 06:30:46,PUSH_WHAT_TO_WATCH_MOVIE_NIGHT,PUSH,IN,,,Captain America: Civil War,SURESHTKUMAR.COM,,,--,0
Raj,2018-05-21 06:30:46,INAPP_WHAT_TO_WATCH_MOVIE_NIGHT,NOTIFICATIONS,IN,,,Captain America: Civil War,SURESHTKUMAR.COM,,,,0
