Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Big Mummy,android,browseTitles,,,2021-12-25 09:53:18
Big Mummy,android,comedyFeedTab,,,2021-12-25 09:53:11
Big Mummy,android,browseTitles,,,2021-12-25 09:53:11
Big Mummy,android,comedyFeedTab,,,2021-12-25 09:49:57
Big Mummy,android,browseTitles,,,2021-12-25 09:49:56
Big Mummy,android,browseGames,,,2021-12-25 09:49:45
Big Mummy,android,browseTitles,,,2021-12-25 09:49:45
Big Mummy,android,browseGames,,,2021-12-25 09:49:42
Big Mummy,android,browseTitles,,,2021-12-25 09:49:41
Big Mummy,android,browseTitles,,,2021-12-25 09:49:07
Big Mummy,android,browseGames,,,2021-12-25 09:49:06
Big Mummy,android,browseTitles,,,2021-12-25 09:49:05
Big Mummy,android,browseGames,,,2021-12-25 09:49:05
Big Mummy,android,browseTitles,,,2021-12-25 09:48:56
Big Mummy,android,profilesGate,,,2021-12-25 09:48:55
Big Mummy,tvui,movieDetails,,,2021-12-24 10:12:27
Big Mummy,tvui,profilesGate,,,2021-12-24 10:12:27
Big Mummy,tvui,playback,,,2021-12-24 09:42:27
Big Mummy,tvui,movieDetails,,,2021-12-24 09:42:27
Big Mummy,tvui,movieDetails,,,2021-12-24 09:22:16
Big Mummy,tvui,playback,,,2021-12-24 09:22:16
Big Mummy,tvui,playback,,,2021-12-24 09:21:52
Big Mummy,tvui,movieDetails,,,2021-12-24 09:21:52
Big Mummy,tvui,playback,,,2021-12-24 09:12:22
Big Mummy,tvui,postPlay,,,2021-12-24 09:12:22
Big Mummy,tvui,playback,,,2021-12-24 09:12:17
Big Mummy,tvui,postPlay,,,2021-12-24 09:12:17
Big Mummy,tvui,movieDetails,,,2021-12-24 08:17:15
Big Mummy,tvui,playback,,,2021-12-24 08:17:15
Big Mummy,tvui,browseTitles,,,2021-12-24 08:17:12
Big Mummy,tvui,movieDetails,,,2021-12-24 08:17:12
Big Mummy,tvui,browseTitles,,,2021-12-24 08:16:29
Big Mummy,tvui,profilesGate,,,2021-12-24 08:16:29
Big Mummy,tvui,movieDetails,,,2021-12-23 17:02:32
Big Mummy,tvui,browseTitles,,,2021-12-23 17:02:32
Big Mummy,tvui,movieDetails,,,2021-12-23 17:01:51
Big Mummy,tvui,postPlay,,,2021-12-23 17:01:51
Big Mummy,tvui,playback,,,2021-12-23 17:00:22
Big Mummy,tvui,postPlay,,,2021-12-23 17:00:22
Big Mummy,tvui,movieDetails,,,2021-12-23 16:04:08
Big Mummy,tvui,playback,,,2021-12-23 16:04:08
Big Mummy,tvui,playback,,,2021-12-23 15:57:06
Big Mummy,tvui,movieDetails,,,2021-12-23 15:57:06
Big Mummy,tvui,movieDetails,,,2021-12-23 15:21:21
Big Mummy,tvui,playback,,,2021-12-23 15:21:21
Big Mummy,tvui,browseTitles,,,2021-12-23 15:21:16
Big Mummy,tvui,movieDetails,,,2021-12-23 15:21:16
Big Mummy,tvui,profilesGate,,,2021-12-23 15:20:59
Big Mummy,tvui,browseTitles,,,2021-12-23 15:20:59
Big Mummy,tvui,postPlay,,,2021-12-23 12:38:27
